Designator,Mid X,Mid Y,Rotation,Layer
BT1,119.0,-92.995,0.0,bottom
D1,127.77,-44.5,180.0,top
D2,141.23,-44.6,180.0,top
J1,132.0,-54.0,0.0,top
M1,113.0,-103.27,0.0,bottom
Q1,159.23,-57.635,180.0,bottom
Q2,160.0,-46.865,180.0,bottom
Q3,154.365,-36.0,90.0,bottom
R1,150.31,-45.0,180.0,bottom
R2,146.69,-37.69,90.0,bottom
R3,147.5,-58.5,270.0,bottom
SW1,141.75,-72.25,0.0,top
